file_name,openssl_101f,libressl_3,sim_value,ABCDE,ÊÇ·ñÒ»ÖÂ
v3_sxnet.c_x509_sxnet.c,SXNET_add_id_INTEGER,SXNET_add_id_INTEGER,0.999958005,C,1
rsa_depr.c_rsa_depr.c,RSA_generate_key,RSA_generate_key,0.999872383,B,1
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_sign,TS_RESP_sign,0.999864762,C,1
tasn_prn.c_tasn_prn.c,asn1_template_print_ctx,asn1_template_print_ctx,0.999665072,C,1
v3_crld.c_x509_crld.c,v2i_crld,v2i_crld,0.999621391,C,1
cms_env.c_cms_env.c,CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,0.999557853,C,1
v3_prn.c_x509_prn.c,X509V3_extensions_print,X509V3_extensions_print,0.999540595,C,1
pk7_smime.c_pk7_smime.c,pkcs7_copy_existing_digest,pkcs7_copy_existing_digest,0.999517884,C,1
p12_kiss.c_p12_kiss.c,parse_pk12,parse_pk12,0.999481828,A,1
ts_rsp_sign.c_ts_rsp_sign.c,ESS_CERT_ID_new_init,ESS_CERT_ID_new_init,0.999431279,C,1
pcy_cache.c_pcy_cache.c,policy_cache_create,policy_cache_create,0.999335538,A,1
v3_prn.c_x509_prn.c,X509V3_EXT_print,X509V3_EXT_print,0.999160713,B,1
ts.c_ts.c,create_query,create_query,0.999016808,C,1
ts_rsp_verify.c_ts_rsp_verify.c,TS_RESP_verify_signature,TS_RESP_verify_signature,0.998887034,C,1
v3_conf.c_x509_conf.c,v3_generic_extension,v3_generic_extension,0.998773457,D,1
ssl_cert.c_ssl_cert.c,SSL_add_file_cert_subjects_to_stack,SSL_add_file_cert_subjects_to_stack,0.998643315,D,1
v3_conf.c_x509_conf.c,do_ext_nconf,do_ext_nconf,0.998576364,E,1
req.c_req.c,auto_info,auto_info,0.998434377,C,1
bio_asn1.c_bio_asn1.c,asn1_bio_write,asn1_bio_write,0.998408852,E,1
v3_ncons.c_x509_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.998334673,A,1
gcm128.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.998227317,A,1
cms_sd.c_cms_sd.c,CMS_set1_signers_certs,CMS_set1_signers_certs,0.998212365,A,1
x_x509.c_x_x509.c,x509_cb,x509_cb,0.998210374,B,1
t_pkey.c_t_pkey.c,ASN1_bn_print,ASN1_bn_print,0.99809319,A,1
p12_crpt.c_p12_crpt.c,PKCS12_PBE_keyivgen,PKCS12_PBE_keyivgen,0.997955767,D,1
v3_skey.c_x509_skey.c,s2i_skey_id,s2i_skey_id,0.99784735,B,1
x_name.c_x_name.c,x509_name_encode,x509_name_encode,0.997772744,C,1
bn_gcd.c_bn_gcd.c,BN_mod_inverse,BN_mod_inverse_internal,0.997692583,C,1
