file_name,openssl_101f,libressl_3,sim_value,ABCDE,0 or 1,vulseeker,gemini,kaist,ufbls,safe
e_aes_cbc_hmac_sha1.c_e_aes_cbc_hmac_sha1.c,aesni_cbc_hmac_sha1_cipher,aesni_cbc_hmac_sha1_cipher,0.950643984,D,1,0.910395086,0.958104909,0.685615933,"0.9975157
","0.95921046
"
e_aes_cbc_hmac_sha1.c_e_aes_cbc_hmac_sha1.c,aesni_cbc_hmac_sha1_ctrl,aesni_cbc_hmac_sha1_ctrl,0.994934438,B,1,0,0.845778101,0,"0.90992963
","0.8829895
"
apps.c_apps.c,app_get_pass,app_get_pass,0.922864865,E,1,0.916200519,0.974613911,0.905508612,"0.9862158
","0.81536883
"
apps.c_apps.c,args_verify,args_verify,0.979646082,C,1,0.993654907,0.991658031,0.939355489,"0.99792266
","0.9456164
"
bio_asn1.c_bio_asn1.c,asn1_bio_write,asn1_bio_write,0.998408852,E,1,0.77232945,0.956499564,0.845934226,"0.33679935
","0.9065529
"
t_pkey.c_t_pkey.c,ASN1_bn_print,ASN1_bn_print,0.99809319,A,1,0.720740378,0.999974447,0.987537647,"0.9943076
","0.9996076
"
tasn_dec.c_tasn_dec.c,asn1_check_tlen,asn1_check_tlen,0.973993422,C,1,0.969355762,0.989064173,0.918925582,"0.9641049
","0.96411306
"
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.991985192,D,1,0.98916328,0.98510071,0.938154721,"0.995178
","0.9588403
"
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_template_ex_d2i,0.806681962,E,0,0.216916472,0.925946523,0.474996608,"0.95748055
","0.8700666
"
a_d2i_fp.c_a_d2i_fp.c,asn1_d2i_read_bio,asn1_d2i_read_bio,0.921756257,D,1,0.993485034,0.91895383,0.740345276,"0.97416157
","0.8265395
"
tasn_utl.c_tasn_utl.c,asn1_do_adb,asn1_do_adb,0.966399836,C,1,0.714690268,0.999694442,0.939731888,"0.9851934
","0.9902701
"
tasn_dec.c_tasn_dec.c,asn1_ex_c2i,asn1_ex_c2i,0.954948302,B,1,0.970364988,0.979064494,0.905329754,"0.62643206
","0.93313396
"
tasn_enc.c_tasn_enc.c,asn1_ex_i2c,asn1_ex_i2c,0.912169752,D,1,0.958207071,0.95669993,0.920515275,"0.63628876
","0.9191159
"
tasn_enc.c_tasn_fre.c,asn1_ex_i2c,ASN1_primitive_free,0.809750788,E,0,0.120138042,0.879226794,0.706855849,"0.8105979
","0.6743674
"
asn1_gen.c_asn1_gen.c,ASN1_generate_v3,ASN1_generate_v3,0.915870401,B,1,0.996584177,0.98573468,0.930385694,"0.9913828
","0.98546547
"
tasn_fre.c_tasn_fre.c,asn1_item_combine_free,asn1_item_combine_free,0.837086583,E,1,0.851994812,0.82332028,0.70801469,"0.712015
","0.8868371
"
tasn_new.c_tasn_new.c,asn1_item_ex_combine_new,asn1_item_ex_combine_new,0.866156148,E,1,0.989003479,0.653719349,0.763483188,"0.8677138
","0.87875354
"
tasn_dec.c_tasn_dec.c,ASN1_item_ex_d2i,asn1_item_ex_d2i,0.901755104,E,0,0,0.938070884,0.890744087,"0.49392137
","0.8651775
"
tasn_enc.c_tasn_fre.c,ASN1_item_ex_i2d,asn1_item_combine_free,0.822587965,E,0,0.861372948,0.767880114,0.716752868,"0.78202534
","0.67281264
"
tasn_enc.c_tasn_new.c,ASN1_item_ex_i2d,asn1_item_ex_combine_new,0.818613768,E,0,0.979496896,0.741923598,0.538677689,"0.70454454
","0.68356323
"
tasn_enc.c_tasn_enc.c,ASN1_item_ex_i2d,ASN1_item_ex_i2d,0.910416341,E,1,0.976412594,0.965109616,0.864091063,"0.8215465
","0.8105599
"
tasn_prn.c_tasn_prn.c,asn1_item_print_ctx,asn1_item_print_ctx,0.945866388,B,1,0.997694433,0.965511162,0.886944216,"0.8333264
","0.91236037
"
a_sign.c_a_sign.c,ASN1_item_sign_ctx,ASN1_item_sign_ctx,0.992153465,D,1,0.910963476,0.975738098,0.901662025,"0.9513199
","0.97248185
"
a_verify.c_a_verify.c,ASN1_item_verify,ASN1_item_verify,0.996624391,D,1,0.257796526,0.96001915,0.869313826,"0.9390433
","0.9186859
"
a_mbstr.c_a_mbstr.c,ASN1_mbstring_ncopy,ASN1_mbstring_ncopy,0.92026619,D,1,0.980003774,0.952185494,0.685999307,"0.7292366
","0.93282974
"
asn1_gen.c_asn1_gen.c,asn1_multi,asn1_multi,0.983760691,B,1,0,0,0,"0
",0
asn1_par.c_asn1_par.c,asn1_parse2,asn1_parse2,0.967479313,E,1,0.997763813,0.326955793,0.885769435,"0.9768148
","0.9340288
"
tasn_fre.c_tasn_fre.c,ASN1_primitive_free,ASN1_primitive_free,0.956968965,C,1,0.874358535,0.995051284,0.924683272,"0.9233607
","0.9865634
"
tasn_fre.c_tasn_new.c,ASN1_primitive_free,ASN1_primitive_new,0.814621501,E,0,0.820893943,0.90854086,0.808010779,"0.40916544
","0.6953304
"
tasn_new.c_tasn_dec.c,ASN1_primitive_new,asn1_ex_c2i,0.805596248,E,0,-0.198648363,0.94175689,0.636067944,"-0.06797969
","0.48752335
"
tasn_new.c_tasn_fre.c,ASN1_primitive_new,ASN1_primitive_free,0.833066596,E,0,0.81659162,0.859015144,0.776093261,"0.11283828
","0.8111987
"
tasn_new.c_tasn_new.c,ASN1_primitive_new,ASN1_primitive_new,0.967219091,D,1,0.872300863,0.992173811,0.924663924,"0.9174115
","0.9432065
"
tasn_prn.c_tasn_prn.c,asn1_primitive_print,asn1_primitive_print,0.960320302,D,1,0,0,0,"0
",0
tasn_enc.c_tasn_enc.c,asn1_set_seq_out,asn1_set_seq_out,0.964878345,C,1,0,0,0,"0
",0
asn1_gen.c_asn1_gen.c,asn1_str2type,asn1_str2type,0.962160002,D,1,0,0,0,"0
",0
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_ex_d2i,0.979754819,A,1,0.615931869,0.975825665,0.921151189,"0.84182286
","0.9464983
"
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_noexp_d2i,0.805898433,E,0,0.355652213,0.924449611,0.525825418,"0.7507644
","0.8334427
"
tasn_enc.c_tasn_enc.c,asn1_template_ex_i2d,asn1_template_ex_i2d,0.97784966,A,1,0.986613691,0.978908958,0.900182847,"0.998735
","0.97910714
"
tasn_dec.c_tasn_dec.c,asn1_template_noexp_d2i,asn1_template_ex_d2i,0.813943051,E,0,0.331916988,0.966561868,0.541321248,"0.95217776
","0.8689485
"
tasn_dec.c_tasn_dec.c,asn1_template_noexp_d2i,asn1_template_noexp_d2i,0.940498146,C,1,0.988598287,0.965624518,0.931604322,"0.97273535
","0.9517151
"
tasn_prn.c_tasn_prn.c,asn1_template_print_ctx,asn1_template_print_ctx,0.999665072,C,1,0.109616987,0.98351489,0.887288517,"0.98650694
","0.9799742
"
req.c_req.c,auto_info,auto_info,0.998434377,C,1,0,0,0,"0
",0
bio_b64.c_bio_b64.c,b64_ctrl,b64_ctrl,0.958958206,A,1,0.979601681,1,0.988368794,"1.0000004
","0.9991633
"
bio_b64.c_bio_b64.c,b64_ctrl,b64_write,0.826743547,E,0,0.947876811,-0.056065719,0.577053403,"0.19513068
","0.8004974
"
bio_b64.c_bio_b64.c,b64_read,b64_read,0.978472055,B,1,0.99727881,0.998913452,0.949169364,"0.99966216
","0.9921794
"
bio_b64.c_bio_b64.c,b64_read,b64_write,0.87603228,E,0,0.992029786,0.832227721,0.486138628,"0.9776161
","0.7928873
"
bio_b64.c_bio_b64.c,b64_write,b64_read,0.826216419,E,0,0.982529998,0.810084593,0.437272245,"0.98033285
","0.7718369
"
bio_b64.c_bio_b64.c,b64_write,b64_write,0.965871283,A,1,0.992364705,0.998774124,0.89826061,"0.99955654
","0.9953351
"
bf_cfb64.c_bf_cfb64.c,BF_cfb64_encrypt,BF_cfb64_encrypt,0.971111389,A,1,0.640767276,0.983465604,0.883232635,"0.99117553
","0.99003696
"
bf_cfb64.c_bf_ofb64.c,BF_cfb64_encrypt,BF_ofb64_encrypt,0.923926615,A,1,0.331900269,0.966557869,0.756887408,"0.91320145
","0.8889043
"
bf_ofb64.c_bf_cfb64.c,BF_ofb64_encrypt,BF_cfb64_encrypt,0.938589773,E,1,0.652367473,0.983038228,0.683308163,"0.9570584
","0.8861583
"
bf_ofb64.c_bf_ofb64.c,BF_ofb64_encrypt,BF_ofb64_encrypt,0.984842328,A,1,0.756213725,0.993346182,0.855543368,"0.992922
","0.97778296
"
bss_bio.c_bss_bio.c,bio_ctrl,bio_ctrl,0.983048035,D,1,0,0.998489749,0,"0.96891904
",0
bio_cb.c_bio_cb.c,BIO_debug_callback,BIO_debug_callback,0.937094238,D,1,0.853022456,0.864415814,0.826843806,"0.49139273
","0.9323519
"
b_dump.c_b_dump.c,BIO_dump_indent_cb,BIO_dump_indent_cb,0.985167015,D,1,0.893785834,0.995385924,0.857573544,"0.9818015
","0.97194815
"
bio_ndef.c_bio_ndef.c,BIO_new_NDEF,BIO_new_NDEF,0.962488985,B,1,0.843468308,0.985065199,0.87775874,"0.8660476
","0.9087397
"
bn_lib.c_bn_lib.c,BN_bin2bn,BN_bin2bn,0.994500886,D,1,0.901843786,0.988713008,0.863060083,"0.9864852
","0.7140128
"
bn_blind.c_bn_blind.c,BN_BLINDING_create_param,BN_BLINDING_create_param,0.985771126,B,1,0.994716465,0.977296564,0.833918716,"0.8858173
","0.969797
"
bn_print.c_bn_print.c,BN_bn2dec,BN_bn2dec,0.852799947,B,1,0.290020287,0.969568064,0.85082073,"0.901762
","0.88144964
"
bn_print.c_bn_print.c,BN_dec2bn,BN_dec2bn,0.957194197,D,1,0.789081037,0.994533816,0.830117918,"0.97414136
","0.93166304
"
bn_print.c_bn_print.c,BN_dec2bn,BN_hex2bn,0.863176066,E,0,0.740518451,0.990285837,0.761379524,"0.96285444
","0.8636673
"
bn_div.c_bn_div.c,BN_div,BN_div_internal,0.929156598,E,0,0.997116864,0.993621189,0.911082641,"0.99359685
","0.90986896
"
bn_mont.c_bn_mont.c,BN_from_montgomery_word,BN_from_montgomery_word,0.946216495,C,1,0.99430269,0.999523187,0.949311512,"0.9959067
","0.96060705
"
bn_gf2m.c_bn_gf2m.c,BN_GF2m_mod_arr,BN_GF2m_mod_arr,0.842035197,A,1,0.889996052,0.975693046,0.732933708,"0.98648185
","0.8706453
"
bn_gf2m.c_bn_gf2m.c,BN_GF2m_mod_inv,BN_GF2m_mod_inv,0.95184099,D,1,0.990584433,0.983344859,0.917405671,"0.99757206
","0.9147398
"
bn_gf2m.c_bn_gf2m.c,BN_GF2m_mod_mul_arr,BN_GF2m_mod_mul_arr,0.978544596,A,1,0.796152174,0.986458257,0.785819564,"0.9670504
","0.92737085
"
bn_gf2m.c_bn_gf2m.c,BN_GF2m_mod_sqr_arr,BN_GF2m_mod_sqr_arr,0.919834629,A,1,0.568287969,0.990108505,0.922029341,"0.96005523
","0.9771833
"
bn_print.c_bn_print.c,BN_hex2bn,BN_dec2bn,0.868782893,E,0,0.942728341,0.981521561,0.739710797,"0.98743695
","0.92510045
"
bn_print.c_bn_print.c,BN_hex2bn,BN_hex2bn,0.957489524,D,1,0.98083216,0.994801856,0.842558941,"0.98916775
","0.89430416
"
bn_prime.c_bn_prime.c,BN_is_prime_fasttest_ex,BN_is_prime_fasttest_ex,0.981751698,D,1,0.997089088,0.97438894,0.846267252,"0.9927065
","0.9829168
"
bn_kron.c_bn_kron.c,BN_kronecker,BN_kronecker,0.960069328,C,1,0.993481398,0.999335212,0.983253613,"0.9953659
","0.9820937
"
bn_exp.c_bn_exp.c,BN_mod_exp_mont,BN_mod_exp_mont_internal,0.955774925,D,0,0.994111359,0.9796173,0.791151158,"0.9917668
","0.92424494
"
bn_exp.c_bn_exp.c,BN_mod_exp_mont,BN_mod_exp_mont_word,0.885058794,E,0,0.996763527,0.973846436,0.674503153,"0.985031
","0.8353574
"
bn_exp.c_bn_exp2.c,BN_mod_exp_mont,BN_mod_exp2_mont,0.916228391,E,0,0.994749725,0.935377709,0.724395578,"0.9683574
","0.91568077
"
bn_exp.c_bn_exp.c,BN_mod_exp_mont_consttime,BN_mod_exp_mont_consttime,0.931274682,D,0,0.992815495,0.950908478,0.848212807,"0.9485945
","0.87813693
"
bn_exp.c_bn_exp.c,BN_mod_exp_mont_word,BN_mod_exp_mont_internal,0.874292551,E,0,0.993585408,0.981492179,0.703032678,"0.99135256
","0.68881387
"
bn_exp.c_bn_exp.c,BN_mod_exp_mont_word,BN_mod_exp_mont_word,0.982124733,D,1,0.996022642,0.997255782,0.957289228,"0.9922072
","0.94783914
"
bn_exp.c_bn_exp2.c,BN_mod_exp_mont_word,BN_mod_exp2_mont,0.840611153,E,0,0.992116392,0.89517076,0.616174012,"0.974067
","0.79613554
"
bn_exp.c_bn_exp.c,BN_mod_exp_recp,BN_mod_exp_recp,0.961634829,D,1,0.988663435,0.967984828,0.817414733,"0.9950652
","0.96065384
"
bn_exp2.c_bn_exp.c,BN_mod_exp2_mont,BN_mod_exp_mont_internal,0.895740611,E,0,0.991040528,0.952242108,0.68549068,"0.97146666
","0.8750142
"
bn_exp2.c_bn_exp.c,BN_mod_exp2_mont,BN_mod_exp_mont_word,0.834737003,E,0,0.991938591,0.921954993,0.670833045,"0.9773215
","0.87414
"
bn_exp2.c_bn_exp2.c,BN_mod_exp2_mont,BN_mod_exp2_mont,0.95238503,B,1,0.998426735,0.984830309,0.913215678,"0.9890769
","0.94471407
"
bn_gcd.c_bn_gcd.c,BN_mod_inverse,BN_mod_inverse_internal,0.997692583,C,1,0.99824816,0.991072996,0.822986771,"0
","0.9064022
"
bn_gcd.c_bn_sqrt.c,BN_mod_inverse,BN_mod_sqrt,0.815881179,E,0,0.999656379,0.979229934,0.750425144,"0.9436436
","0.82010734
"
bn_mont.c_bn_mont.c,BN_mod_mul_montgomery,BN_mod_mul_montgomery,0.97911816,C,1,0.404676616,0.999751457,0.929929589,"0.9966517
","0.9803992
"
bn_sqrt.c_bn_sqrt.c,BN_mod_sqrt,BN_mod_sqrt,0.913700161,D,1,0.998476565,0.99857747,0.920454537,"0.9910841
","0.9533886
"
bn_mont.c_bn_mont.c,BN_MONT_CTX_set,BN_MONT_CTX_set,0.994525559,C,1,0.791383386,0.948459798,0.908874228,"0.46090892
","0.9879476
"
bn_mul.c_bn_mul.c,BN_mul,BN_mul,0.946847461,C,1,0.948450506,0.999722204,0.972362718,"0.9999055
","1.0000001
"
bn_nist.c_bn_nist.c,BN_nist_mod_192,BN_nist_mod_192,0.984030348,C,1,0,0.989838977,0,"0.9951755
",0
bn_nist.c_bn_nist.c,BN_nist_mod_192,BN_nist_mod_256,0.831192024,E,0,0,0.985798174,0,"0.97656184
",0
bn_nist.c_bn_nist.c,BN_nist_mod_192,BN_nist_mod_384,0.839508989,E,0,0,0.981992711,0,"0.96364665
",0
bn_nist.c_bn_nist.c,BN_nist_mod_192,BN_nist_mod_521,0.805101114,E,0,0,0.962521967,0,"0.9119467
",0
bn_nist.c_bn_nist.c,BN_nist_mod_224,BN_nist_mod_224,0.946058571,C,1,0,0.993840239,0,"0.9983384
",0
bn_nist.c_bn_nist.c,BN_nist_mod_224,BN_nist_mod_256,0.881796924,E,1,0,0.950749458,0,"0.9681474
",0
bn_nist.c_bn_nist.c,BN_nist_mod_224,BN_nist_mod_384,0.889836518,E,0,0,0.947397339,0,"0.9726412
",0
bn_nist.c_bn_nist.c,BN_nist_mod_256,BN_nist_mod_192,0.837805894,E,0,0,0.990606407,0,"0.9719436
",0
bn_nist.c_bn_nist.c,BN_nist_mod_256,BN_nist_mod_224,0.845897814,E,0,0,0.959341277,0,"0.9492968
",0
bn_nist.c_bn_nist.c,BN_nist_mod_256,BN_nist_mod_256,0.948494634,C,1,0,0.99047895,0,"0.99621487
",0
bn_nist.c_bn_nist.c,BN_nist_mod_256,BN_nist_mod_384,0.933633368,E,0,0,0.986322708,0,"0.9893407
",0
bn_nist.c_bn_nist.c,BN_nist_mod_384,BN_nist_mod_192,0.825641591,E,0,0,0.989706017,0,"0.9749548
",0
bn_nist.c_bn_nist.c,BN_nist_mod_384,BN_nist_mod_224,0.832120394,E,0,0,0.954667646,0,"0.9621357
",0
bn_nist.c_bn_nist.c,BN_nist_mod_384,BN_nist_mod_256,0.907777658,E,0,0,0.990075497,0,"0.9986044
",0
bn_nist.c_bn_nist.c,BN_nist_mod_384,BN_nist_mod_384,0.945745827,C,1,0,0.987280592,0,"0.99692273
",0
bn_nist.c_bn_nist.c,BN_nist_mod_521,BN_nist_mod_192,0.806981925,E,0,0,0.968485959,0,"0.9233697
",0
bn_nist.c_bn_nist.c,BN_nist_mod_521,BN_nist_mod_521,0.995824473,A,1,0,0.989235804,0,"0.99906975
",0
bf_buff.c_bf_buff.c,buffer_ctrl,buffer_ctrl,0.987287274,D,1,0.995407879,1,0.781204763,"1.0
","0.9631845
"
a_bitstr.c_a_bitstr.c,c2i_ASN1_BIT_STRING,c2i_ASN1_BIT_STRING,0.927667095,D,1,0.304487556,0.99491817,0.90995682,"0.9447239
","0.9443175
"
a_bitstr.c_a_int.c,c2i_ASN1_BIT_STRING,c2i_ASN1_INTEGER,0.963717582,E,0,-0.076961957,0.964027415,0.50262037,"0.97100204
","0.84215313
"
a_bitstr.c_a_int.c,c2i_ASN1_BIT_STRING,d2i_ASN1_UINTEGER,0.928305999,E,0,0.343627036,0.970722011,0.704449024,"0.6040273
","0.85128284
"
a_int.c_a_bitstr.c,c2i_ASN1_INTEGER,c2i_ASN1_BIT_STRING,0.86060353,E,0,0.823966026,0.939024753,0.507659198,"0.8928907
","0.8863507
"
a_int.c_a_int.c,c2i_ASN1_INTEGER,c2i_ASN1_INTEGER,0.961047943,D,1,0.989464343,0.990220223,0.93107122,"0.9964173
","0.9669557
"
a_int.c_a_int.c,c2i_ASN1_INTEGER,d2i_ASN1_UINTEGER,0.924738813,E,0,0.082849212,0.955896406,0.459697629,"0.69669527
","0.7809193
"
a_object.c_a_object.c,c2i_ASN1_OBJECT,c2i_ASN1_OBJECT,0.987720049,E,1,0.936841726,0.966431068,0.796797813,"0.77664727
","0.91805184
"
c_cfb64.c_c_cfb64.c,CAST_cfb64_encrypt,CAST_cfb64_encrypt,0.962586849,A,1,0.022549653,0.983465604,0.883232635,"0.99117553
","0.99003696
"
c_cfb64.c_c_ofb64.c,CAST_cfb64_encrypt,CAST_ofb64_encrypt,0.905865932,A,1,0.415952981,0.966557869,0.756887408,"0.91320145
","0.8889043
"
c_ofb64.c_c_cfb64.c,CAST_ofb64_encrypt,CAST_cfb64_encrypt,0.938395855,E,1,0.510011911,0.983038228,0.683308163,"0.9570584
","0.8861583
"
c_ofb64.c_c_ofb64.c,CAST_ofb64_encrypt,CAST_ofb64_encrypt,0.984487192,A,1,0.453052491,0.993346182,0.855543368,"0.992922
","0.97778296
"
s_server.c_s_server.c,cert_status_cb,cert_status_cb,0.973758348,C,1,0.967882872,0.948077684,0.929424235,"0.97050124
","0.9533902
"
ca.c_ca.c,certify,certify,0.994524246,A,1,0.689073324,1,0.957446809,"0.99999994
","1.0
"
ca.c_ca.c,certify,certify_cert,0.91542055,E,0,0,0,0,"0
",0
ca.c_ca.c,certify_cert,certify,0.912253417,E,0,0,0,0,"0
",0
ca.c_ca.c,certify_cert,certify_cert,0.959407733,A,1,0,0,0,"0
",0
ca.c_ca.c,certify_spkac,certify_spkac,0.991237385,E,1,0,0,0,"0
",0
verify.c_verify.c,check,check,0.898405965,E,1,0.855322421,0.972489476,0.895077221,"0.7166709
","0.94434947
"
apps.c_apps.c,chopup_args,chopup_args,0.94638062,B,1,0.968131185,0.950479858,0.750420506,"0.98588794
","0.90528125
"
cms_env.c_cms_env.c,CMS_add0_recipient_key,CMS_add0_recipient_key,0.986817841,D,1,0.866350412,0.976392821,0.963303545,"0.9079857
","0.9659942
"
cms_pwri.c_cms_pwri.c,CMS_add0_recipient_password,CMS_add0_recipient_password,0.917097831,D,1,0.946550786,0.98352183,0.869747741,"0.9472644
","0.93364984
"
cms_sd.c_cms_sd.c,CMS_add1_signer,CMS_add1_signer,0.938438468,D,1,0.993024886,0.988715389,0.874182279,"0.9450623
","0.9552389
"
cms_lib.c_cms_lib.c,CMS_dataFinal,CMS_dataFinal,0.995965649,C,1,0.72977972,0.999268864,0.925110379,"0.7324394
","0.98210233
"
cms_smime.c_cms_smime.c,CMS_decrypt_set1_pkey,CMS_decrypt_set1_pkey,0.978134518,E,1,0.921718061,0.968544982,0.804441042,"0.7411818
","0.94551945
"
cms_enc.c_cms_enc.c,cms_EncryptedContent_init_bio,cms_EncryptedContent_init_bio,0.94592876,D,1,0.983650267,0.923874194,0.880118392,"0.96382004
","0.9607157
"
cms_env.c_cms_env.c,cms_EnvelopedData_init_bio,cms_EnvelopedData_init_bio,0.941854182,D,1,0.961926758,0.796195765,0.567952868,"0.7238419
","0.7670598
"
cms_ess.c_cms_ess.c,cms_Receipt_verify,cms_Receipt_verify,0.974704135,D,1,0.982534945,0.97221278,0.934546299,"0.80137223
","0.9480528
"
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_decrypt,cms_RecipientInfo_kekri_decrypt,0.980041252,C,1,0,0,0,"0
",0
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_decrypt,cms_RecipientInfo_kekri_encrypt,0.955671277,E,0,0,0,0,"0
",0
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_encrypt,cms_RecipientInfo_kekri_decrypt,0.932711177,E,0,0,0,0,"0
",0
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_encrypt,cms_RecipientInfo_kekri_encrypt,0.981636379,C,1,0,0,0,"0
",0
cms_env.c_cms_env.c,CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,0.999557853,C,1,0.806455016,1,1,"0.9674591
","0.93484265
"
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_decrypt,cms_RecipientInfo_ktri_decrypt,0.913852819,E,1,0,0,0,"0
",0
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_decrypt,cms_RecipientInfo_ktri_encrypt,0.9576184,E,0,0,0,0,"0
",0
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_encrypt,cms_RecipientInfo_ktri_decrypt,0.87588619,E,0,0,0,0,"0
",0
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_encrypt,cms_RecipientInfo_ktri_encrypt,0.97944863,D,1,0,0,0,"0
",0
cms_pwri.c_cms_pwri.c,cms_RecipientInfo_pwri_crypt,cms_RecipientInfo_pwri_crypt,0.903521827,D,1,0.981206596,0.984620797,0.838312159,"0.938483
","0.85199636
"
cms_sd.c_cms_sd.c,cms_sd_set_version,cms_sd_set_version,0.996431717,B,1,0,0,0,"0
",0
cms_sd.c_cms_sd.c,CMS_set1_signers_certs,CMS_set1_signers_certs,0.998212365,A,1,0.968586743,0.993516552,0.943360748,"0.97939485
","0.96768826
"
cms_smime.c_cms_smime.c,CMS_sign_receipt,CMS_sign_receipt,0.9797955,D,1,0.787739754,0.995984855,0.965829107,"0.9283277
","0.9717179
"
cms_sd.c_cms_sd.c,cms_SignerInfo_content_sign,cms_SignerInfo_content_sign,0.91052823,D,1,0,0,0,"0
",0
cms_sd.c_cms_sd.c,CMS_SignerInfo_sign,CMS_SignerInfo_sign,0.897195811,D,1,0.670636833,0.991489074,0.86776231,"0.93252647
","0.9336307
"
cms_smime.c_cms_smime.c,CMS_verify,CMS_verify,0.913503715,E,1,0.996271312,0.942308184,0.778020068,"0.983296
","0.879901
"
dh_key.c_dh_key.c,compute_key,compute_key,0.973502183,D,1,0.669167101,0.982548448,0.908342348,"0.643845
","0.9614804
"
dh_key.c_dh_key.c,compute_key,generate_key,0.827747302,E,0,0.587622166,0.932166337,0.784880787,"0.76119006
","0.87438774
"
ec_mult.c_ec_mult.c,compute_wNAF,compute_wNAF,0.877589895,C,1,0.91473496,0.999709258,0.941026133,"0.9907193
","0.95420915
"
bss_conn.c_bss_conn.c,conn_ctrl,conn_ctrl,0.953115845,B,1,0.984077096,1,0.88450592,"0.9970641
","0.9714568
"
bss_conn.c_bss_conn.c,conn_state,conn_state,0.96035584,D,1,0.976806343,0.994137026,0.92900666,"0.93621045
","0.9713938
"
v3_alt.c_x509_alt.c,copy_email,copy_email,0.992739802,C,1,0.684091091,0.990132371,0.806702554,"0.9370537
","0.91178286
"
ts.c_ts.c,create_query,create_query,0.999016808,C,1,0,0,0,"0
",0
ts.c_ts.c,create_verify_ctx,create_verify_ctx,0.98623017,A,1,0,0,0,"0
",0
x509_vfy.c_x509_vfy.c,crl_akid_check,crl_akid_check,0.988139409,A,1,0,0,0,"0
",0
x_crl.c_x_crl.c,crl_cb,crl_cb,0.9880251,E,1,0.993142247,0.986522588,0.913857502,"0.99480927
","0.97734046
"
x_crl.c_x_crl.c,crl_set_issuers,crl_set_issuers,0.989909175,A,1,0,0,0,"0
",0
cbc128.c_cbc128.c,CRYPTO_cbc128_decrypt,CRYPTO_cbc128_decrypt,0.972747819,A,1,0.968126237,0.988051704,0.868168504,"0.9982766
","0.9947132
"
ccm128.c_ccm128.c,CRYPTO_ccm128_decrypt,CRYPTO_ccm128_decrypt,0.971753648,A,1,0.521627486,0.99079641,0.920729305,"0.9994976
","0.9952545
"
ccm128.c_ccm128.c,CRYPTO_ccm128_decrypt,CRYPTO_ccm128_decrypt_ccm64,0.885184504,E,0,0.738253832,0.990860137,0.817411902,"0.96610826
","0.9460872
"
