file_name,openssl_101f,libressl_3,sim_value,ABCDE,0 or 1,vulseeker,gemini,kaist,ufbls,safe
conf_api.c_conf_api.c,_CONF_new_section,_CONF_new_section,0.943046319,B,1,0.580037773,0.983760395,0.847466588,"0.83884394
","0.9495347
"
a_object.c_a_object.c,a2d_ASN1_OBJECT,a2d_ASN1_OBJECT,0.934475255,D,1,0.996438682,0.962978533,0.808336151,"0.96344066
","0.81613576
"
f_enum.c_f_int.c,a2i_ASN1_ENUMERATED,a2i_ASN1_INTEGER,0.805725214,D,1,0,0.979714893,0,"0.992251
",0
f_int.c_f_int.c,a2i_ASN1_INTEGER,a2i_ASN1_INTEGER,0.809952532,B,1,0.969980657,0.980001607,0.891296152,"0.9890696
","0.87531006
"
f_string.c_f_int.c,a2i_ASN1_STRING,a2i_ASN1_INTEGER,0.806291915,E,0,0.996132314,0.994894791,0.839384466,"0.9888585
","0.8850457
"
v3_alt.c_x509_alt.c,a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.976199235,C,1,0.958955348,1,0.866990172,"0.97276336
","0.966673
"
bss_acpt.c_bss_acpt.c,acpt_ctrl,acpt_ctrl,0.996957068,B,1,0.961469352,1,0.91642819,"0.99272424
","0.97839576
"
req.c_req.c,add_attribute_object,add_attribute_object,0.877576008,C,1,0,0,0,"0
",0
by_dir.c_by_dir.c,add_cert_dir,add_cert_dir,0.979281236,D,1,0.97653836,0.993011197,0.853934224,"0.63710356
","0.89017254
"
crl2p7.c_crl2p7.c,add_certs_from_file,add_certs_from_file,0.966304037,A,1,0,0,0,"0
",0
crl2p7.c_ocspcheck.c,add_certs_from_file,read_fullchain,0.819647699,E,0,0,0,0,"0
",0
req.c_req.c,add_DN_object,add_DN_object,0.991042584,D,1,0,0,0,"0
",0
ocsp.c_ocsp.c,add_ocsp_serial,add_ocsp_serial,0.990295012,A,1,0,0,0,"0
",0
e_aes.c_e_aes.c,aes_ccm_cipher,aes_ccm_cipher,0.980640494,A,1,0.976538718,0.981895353,0.950511905,"0.87612283
","0.99533516
"
e_aes.c_e_aes.c,aes_gcm_ctrl,aes_gcm_ctrl,0.891232943,D,1,0.980026901,0.994927247,0.867037084,"0.99076223
","0.83342487
"
