file_name,openssl_101f,libressl_3,sim_value,vulseeker,safe,kaist,A_var_code_cf,B_var_code_CF,C_var_CODE_cf,D_var_CODE_CF,E_VAR
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_group_set_curve,ec_GFp_simple_group_set_curve,0.873156399,-0.204750791,0.87948537,0.946700265,,1,,,
ec2_smpl.c_ec2_smpl.c,ec_GF2m_simple_is_on_curve,ec_GF2m_simple_is_on_curve,0.985601329,0.080214463,0.866781,0.939538006,,1,,,
ec2_mult.c_ec2_mult.c,ec_GF2m_simple_mul,ec_GF2m_simple_mul,0.980513071,0.928670108,0.8905808,0.929287244,,1,,,
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.949202785,0.820192873,0.8139979,0.927891515,,,,1,
bn_mont.c_bn_mont.c,BN_mod_mul_montgomery,BN_mod_mul_montgomery,0.958236321,0.301668704,0.7116253,0.926090011,,,1,,
v3_ncons.c_x509_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.996669345,0.436613262,0.9319518,0.842891883,1,,,,
pk7_lib.c_pk7_lib.c,PKCS7_RECIP_INFO_set,PKCS7_RECIP_INFO_set,0.987715146,0.795589983,0.85258156,0.924649502,,,,1,
gcm128.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.996454635,0.357264549,0.7138876,0.577174868,1,,,,
ocsp_srv.c_ocsp_srv.c,OCSP_basic_add1_status,OCSP_basic_add1_status,0.977809479,0.149472043,0.8312607,0.918907253,,,1,,
pk7_lib.c_pk7_lib.c,PKCS7_SIGNER_INFO_set,PKCS7_SIGNER_INFO_set,0.988839898,0.285030574,0.8143642,0.917307445,,,1,,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_point_get_affine_coordinates,ec_GFp_simple_point_get_affine_coordinates,0.904156119,0.97643429,0.8593803,0.91366877,,,,1,
pem_pk8.c_pem_pk8.c,d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.887184226,0.586588144,0.5466516,0.913292888,,,1,,
cms_env.c_cms_env.c,CMS_add0_recipient_key,CMS_add0_recipient_key,0.973635682,0.885497212,0.8218428,0.910119805,,,,1,
gcm128.c_gcm128.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.948144686,0.738246262,0.9003864,0.909406317,,,,,1
cms_sd.c_cms_sd.c,CMS_set1_signers_certs,CMS_set1_signers_certs,0.996424729,0.933020592,0.83675134,0.791969422,1,,,,
pem_lib.c_pem_lib.c,PEM_ASN1_write_bio,PEM_ASN1_write_bio,0.905482679,0.917135298,0.8405815,0.906290136,,,,1,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.985317301,0.906978786,0.8953687,0.904845909,,1,,,
pk7_doit.c_pk7_doit.c,PKCS7_signatureVerify,PKCS7_signatureVerify,0.920433875,0.974304676,0.88675773,0.904338911,,,1,,
t_pkey.c_t_pkey.c,ASN1_bn_print,ASN1_bn_print,0.996186379,-0.150773868,0.873244,0.872448336,1,,,,
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_set_Jprojective_coordinates_GFp,ec_GFp_simple_set_Jprojective_coordinates_GFp,0.972994396,0.882672966,0.8903156,0.903450442,,1,,,
cms_env.c_cms_env.c,CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,0.999115705,0.705906272,0.5583851,0.902019999,,,1,,
req.c_req.c,set_keygen_ctx,set_keygen_ctx,0.703129476,0.974412799,0.90103436,0.900661104,,,,,1
