file_name,openssl_101f,libressl_3,sim_value
tasn_dec.c_tasn_dec.c,asn1_d2i_ex_primitive,asn1_d2i_ex_primitive,0.9919851917815992
ssl_cert.c_ssl_cert.c,ssl_verify_cert_chain,ssl_verify_cert_chain,0.9915535061337493
ca.c_ca.c,certify_spkac,certify_spkac,0.9912373852367985
p5_crpt2.c_p5_crpt2.c,PKCS5_v2_PBE_keyivgen,PKCS5_v2_PBE_keyivgen,0.9911130155206214
ec_asn1.c_ec_asn1.c,ec_asn1_group2parameters,ec_asn1_group2parameters,0.9910739815834745
req.c_req.c,add_DN_object,add_DN_object,0.9910425837585153
v3_cpols.c_x509_cpols.c,r2i_certpol,r2i_certpol,0.991027837002585
p5_pbev2.c_p5_pbev2.c,PKCS5_pbkdf2_set,PKCS5_pbkdf2_set,0.9909184571330003
x509_vfy.c_x509_vfy.c,get_crl_sk,get_crl_sk,0.9909088661799771
n_pkey.c_n_pkey.c,i2d_RSA_NET,i2d_RSA_NET,0.9907970870858203
x509.c_x509.c,sign,sign,0.9906262665059747
ocsp.c_ocsp.c,add_ocsp_serial,add_ocsp_serial,0.990295012066344
ec2_mult.c_ec2_mult.c,ec_GF2m_simple_mul,ec_GF2m_simple_mul,0.9902565354527495
dsa_ameth.c_dsa_ameth.c,dsa_pub_decode,dsa_pub_decode,0.9900600879999957
ocsp_ht.c_ocsp_ht.c,OCSP_sendreq_nbio,OCSP_sendreq_nbio,0.9900023429578578
p5_crpt2.c_p5_crpt2.c,PKCS5_v2_PBKDF2_keyivgen,PKCS5_v2_PBKDF2_keyivgen,0.9899906865129643
x_crl.c_x_crl.c,crl_set_issuers,crl_set_issuers,0.9899091747813056
rsa_oaep.c_rsa_oaep.c,PKCS1_MGF1,PKCS1_MGF1,0.9898189205913226
ocsp_srv.c_ocsp_srv.c,OCSP_basic_sign,OCSP_basic_sign,0.9897738099664556
ec_asn1.c_ec_asn1.c,ec_asn1_group2curve,ec_asn1_group2curve,0.9897606025740879
dsa_ossl.c_dsa_ossl.c,dsa_do_verify,dsa_do_verify,0.9896985084047007
n_pkey.c_n_pkey.c,d2i_RSA_NET,d2i_RSA_NET,0.9895682460206441
rsa_eay.c_rsa_eay.c,RSA_eay_private_encrypt,RSA_eay_private_encrypt,0.9891389487289708
dh_ameth.c_dh_ameth.c,do_dh_print,do_dh_print,0.9890053305928224
dgst.c_dgst.c,do_fp,do_fp,0.9889704402640533
ocsp_srv.c_ocsp_srv.c,OCSP_basic_add1_status,OCSP_basic_add1_status,0.9889047394120739
gcm128.c_gcm128.c,CRYPTO_gcm128_setiv,CRYPTO_gcm128_setiv,0.9888918798715014
p5_pbev2.c_p5_pbev2.c,PKCS5_pbe2_set_iv,PKCS5_pbe2_set_iv,0.9887447335175479
ocsp_vfy.c_ocsp_vfy.c,ocsp_match_issuerid,ocsp_match_issuerid,0.9885725632042877
x509_vfy.c_x509_vfy.c,crl_akid_check,crl_akid_check,0.9881394087332576
x_crl.c_x_crl.c,crl_cb,crl_cb,0.9880250995329481
a_object.c_a_object.c,c2i_ASN1_OBJECT,c2i_ASN1_OBJECT,0.9877200489074507
bf_buff.c_bf_buff.c,buffer_ctrl,buffer_ctrl,0.9872872738583911
rsa_eay.c_rsa_eay.c,RSA_eay_private_decrypt,RSA_eay_private_decrypt,0.9871432560317099
cms_env.c_cms_env.c,CMS_add0_recipient_key,CMS_add0_recipient_key,0.9868178407501741
p12_add.c_p12_add.c,PKCS12_pack_p7encdata,PKCS12_pack_p7encdata,0.9866235127644757
pk7_doit.c_pk7_doit.c,PKCS7_dataFinal,PKCS7_dataFinal,0.9865760791891383
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_set_Jprojective_coordinates_GFp,ec_GFp_simple_set_Jprojective_coordinates_GFp,0.9864971982210181
e_des.c_e_des.c,des_cfb1_cipher,des_cfb1_cipher,0.9864724496003248
ec_asn1.c_ec_asn1.c,i2d_ECPrivateKey,i2d_ECPrivateKey,0.9864391432723003
ts.c_ts.c,create_verify_ctx,create_verify_ctx,0.98623016967304
bn_blind.c_bn_blind.c,BN_BLINDING_create_param,BN_BLINDING_create_param,0.9857711256500616
p_verify.c_p_verify.c,EVP_VerifyFinal,EVP_VerifyFinal,0.9854696481211942
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_cmp,ec_GFp_simple_cmp,0.985366608510385
b_dump.c_b_dump.c,BIO_dump_indent_cb,BIO_dump_indent_cb,0.9851670145609469
v3_ncons.c_x509_ncons.c,v2i_NAME_CONSTRAINTS,v2i_NAME_CONSTRAINTS,0.9849250506287054
v3_akey.c_x509_akey.c,v2i_AUTHORITY_KEYID,v2i_AUTHORITY_KEYID,0.9849219667758156
bss_file.c_bss_file.c,file_ctrl,file_ctrl,0.9848584662529498
bf_ofb64.c_bf_ofb64.c,BF_ofb64_encrypt,BF_ofb64_encrypt,0.9848423283536829
ca.c_ca.c,do_updatedb,do_updatedb,0.9845019739206105
c_ofb64.c_c_ofb64.c,CAST_ofb64_encrypt,CAST_ofb64_encrypt,0.9844871921149512
bn_nist.c_bn_nist.c,BN_nist_mod_192,BN_nist_mod_192,0.9840303484494946
v3_alt.c_x509_alt.c,v2i_subject_alt,v2i_subject_alt,0.9839614083607431
asn1pars.c_asn1pars.c,do_generate,do_generate,0.9839552119604124
ocsp_vfy.c_ocsp_vfy.c,OCSP_request_verify,OCSP_request_verify,0.9838034502411745
asn1_gen.c_asn1_gen.c,asn1_multi,asn1_multi,0.9837606911382708
d1_both.c_d1_both.c,dtls1_retrieve_buffered_fragment,dtls1_retrieve_buffered_fragment,0.9835857291476467
rsa_eay.c_rsa_eay.c,RSA_eay_public_decrypt,RSA_eay_public_decrypt,0.9835784302806259
bss_bio.c_bss_bio.c,bio_ctrl,bio_ctrl,0.9830480346983163
ocsp.c_ocsp.c,make_ocsp_response,make_ocsp_response,0.9828729805423799
req.c_req.c,make_REQ,make_REQ,0.9828171633846614
bio_ssl.c_bio_ssl.c,ssl_ctrl,ssl_ctrl,0.982343461248985
pk7_doit.c_pk7_doit.c,PKCS7_dataInit,PKCS7_dataInit,0.9822373926301234
bn_exp.c_bn_exp.c,BN_mod_exp_mont_word,BN_mod_exp_mont_word,0.9821247330748019
eng_cnf.c_eng_cnf.c,int_engine_configure,int_engine_configure,0.982004551570166
ec_asn1.c_ec_asn1.c,ec_asn1_group2fieldid,ec_asn1_group2fieldid,0.9819072115791736
bn_prime.c_bn_prime.c,BN_is_prime_fasttest_ex,BN_is_prime_fasttest_ex,0.9817516983535686
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_encrypt,cms_RecipientInfo_kekri_encrypt,0.9816363792268537
x509_lu.c_x509_lu.c,x509_object_idx_cnt,x509_object_idx_cnt,0.9814110130246192
ca.c_ca.c,get_certificate_status,get_certificate_status,0.9813572495356693
conf_mod.c_conf_mod.c,module_init,module_init,0.9809060038907982
v3_info.c_x509_info.c,v2i_AUTHORITY_INFO_ACCESS,v2i_AUTHORITY_INFO_ACCESS,0.9806408303328971
e_aes.c_e_aes.c,aes_ccm_cipher,aes_ccm_cipher,0.980640494494357
v3_cpols.c_x509_cpols.c,notice_section,notice_section,0.9805649250403492
rsa_pmeth.c_rsa_pmeth.c,pkey_rsa_verifyrecover,pkey_rsa_verifyrecover,0.9804572746443996
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_decrypt,cms_RecipientInfo_kekri_decrypt,0.9800412520149335
bio_enc.c_bio_enc.c,enc_ctrl,enc_ctrl,0.9798921645602081
cms_smime.c_cms_smime.c,CMS_sign_receipt,CMS_sign_receipt,0.97979550043701
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_ex_d2i,0.9797548187442566
apps.c_apps.c,args_verify,args_verify,0.9796460818170127
pcy_tree.c_pcy_tree.c,tree_link_unmatched,tree_link_unmatched,0.9796429821443156
ts_rsp_verify.c_ts_rsp_verify.c,TS_compute_imprint,TS_compute_imprint,0.9795351855707846
cms_env.c_cms_env.c,cms_RecipientInfo_ktri_encrypt,cms_RecipientInfo_ktri_encrypt,0.9794486301657627
by_dir.c_by_dir.c,add_cert_dir,add_cert_dir,0.9792812358246781
dh_ameth.c_dh_ameth.c,dh_pub_decode,dh_pub_decode,0.9792702619292213
ec2_smpl.c_ec2_smpl.c,ec_GF2m_simple_add,ec_GF2m_simple_add,0.9792291528820172
ex_data.c_ex_data.c,int_free_ex_data,int_free_ex_data,0.9791921727177519
by_file.c_by_file.c,X509_load_cert_crl_file,X509_load_cert_crl_file,0.9791815764783023
rsa_gen.c_rsa_gen.c,rsa_builtin_keygen,rsa_builtin_keygen,0.9791763555004458
bn_mont.c_bn_mont.c,BN_mod_mul_montgomery,BN_mod_mul_montgomery,0.9791181603405492
ocsp_cl.c_ocsp_cl.c,OCSP_request_sign,OCSP_request_sign,0.9789301698081817
ec2_oct.c_ec2_oct.c,ec_GF2m_simple_set_compressed_coordinates,ec_GF2m_simple_set_compressed_coordinates,0.9787542082742876
bn_gf2m.c_bn_gf2m.c,BN_GF2m_mod_mul_arr,BN_GF2m_mod_mul_arr,0.9785445960877697
bio_b64.c_bio_b64.c,b64_read,b64_read,0.9784720546732806
ts.c_ts.c,verify_command,verify_command,0.9784707653527567
x_name.c_x_name.c,x509_name_canon,x509_name_canon,0.9782922028106219
cms_smime.c_cms_smime.c,CMS_decrypt_set1_pkey,CMS_decrypt_set1_pkey,0.9781345182243127
tasn_enc.c_tasn_enc.c,asn1_template_ex_i2d,asn1_template_ex_i2d,0.977849659928095
dh_ameth.c_dh_ameth.c,dh_priv_decode,dh_priv_decode,0.9774169827189085
apps.c_apps.c,load_cert,load_cert,0.9768619245705495
rsa_eay.c_rsa_eay.c,RSA_eay_public_encrypt,RSA_eay_public_encrypt,0.9766908772876847
x509_vfy.c_x509_vfy.c,X509_STORE_CTX_init,X509_STORE_CTX_init,0.9766131648630784
ecp_oct.c_ecp_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9765789657242694
v3_alt.c_x509_alt.c,a2i_GENERAL_NAME,a2i_GENERAL_NAME,0.9761992349861326
evp_enc.c_evp_enc.c,EVP_CipherInit_ex,EVP_CipherInit_ex,0.9761414835563017
ocsp_ext.c_ocsp_ext.c,OCSP_url_svcloc_new,OCSP_url_svcloc_new,0.9760676375823314
ec2_mult.c_ec2_mult.c,ec_GF2m_montgomery_point_multiply,ec_GF2m_montgomery_point_multiply,0.9760213346061464
bio_md.c_bio_md.c,md_ctrl,md_ctrl,0.9755044036331904
apps.c_apps.c,load_pkcs12,load_pkcs12,0.9753720082492134
pem_info.c_pem_info.c,PEM_X509_INFO_read_bio,PEM_X509_INFO_read_bio,0.9752947945904812
ocsp_vfy.c_ocsp_vfy.c,OCSP_basic_verify,OCSP_basic_verify,0.9748533764411222
cms_ess.c_cms_ess.c,cms_Receipt_verify,cms_Receipt_verify,0.9747041347930261
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.9746013924956072
ccm128.c_ccm128.c,CRYPTO_ccm128_encrypt_ccm64,CRYPTO_ccm128_encrypt_ccm64,0.9745947663445078
dsa_ossl.c_dsa_ossl.c,dsa_sign_setup,dsa_sign_setup,0.9744576352480432
ts.c_ts.c,reply_command,reply_command,0.97428393639952
wp_dgst.c_wp_dgst.c,WHIRLPOOL_Final,WHIRLPOOL_Final,0.9741392778961028
gcm128.c_gcm128.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9740723428032256
tasn_dec.c_tasn_dec.c,asn1_check_tlen,asn1_check_tlen,0.9739934224610689
s_server.c_s_server.c,cert_status_cb,cert_status_cb,0.9737583479840599
dh_key.c_dh_key.c,compute_key,compute_key,0.9735021832121484
ec_key.c_ec_key.c,EC_KEY_check_key,EC_KEY_check_key,0.9734964293059001
by_dir.c_by_dir.c,get_cert_by_subject,get_cert_by_subject,0.9734639848717381
pk7_smime.c_pk7_smime.c,PKCS7_verify,PKCS7_verify,0.9734484473676369
evp_pbe.c_evp_pbe.c,EVP_PBE_CipherInit,EVP_PBE_CipherInit,0.9733802110023526
v3_pci.c_x509_pci.c,r2i_pci,r2i_pci,0.973332966848212
rc2ofb64.c_rc2ofb64.c,RC2_ofb64_encrypt,RC2_ofb64_encrypt,0.9731239852475952
conf_def.c_conf_def.c,def_load_bio,def_load_bio,0.9729830246937261
a_strex.c_a_strex.c,do_name_ex,do_name_ex,0.9729810156941837
dsa_ameth.c_dsa_ameth.c,dsa_sig_print,dsa_sig_print,0.9727958912416591
cbc128.c_cbc128.c,CRYPTO_cbc128_decrypt,CRYPTO_cbc128_decrypt,0.9727478189906873
d1_both.c_d1_both.c,dtls1_buffer_message,dtls1_buffer_message,0.972739849348083
ccm128.c_ccm128.c,CRYPTO_ccm128_encrypt,CRYPTO_ccm128_encrypt,0.9721414390283711
dsa_gen.c_dsa_gen.c,dsa_builtin_paramgen,dsa_builtin_paramgen,0.9720052351357535
ccm128.c_ccm128.c,CRYPTO_ccm128_decrypt_ccm64,CRYPTO_ccm128_decrypt_ccm64,0.9718261449986194
ccm128.c_ccm128.c,CRYPTO_ccm128_decrypt,CRYPTO_ccm128_decrypt,0.971753647889084
gcm128.c_gcm128.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9714449538076662
bf_cfb64.c_bf_cfb64.c,BF_cfb64_encrypt,BF_cfb64_encrypt,0.9711113890265303
ec_asn1.c_ec_asn1.c,ec_asn1_parameters2group,ec_asn1_parameters2group,0.9709426346128497
pk7_doit.c_pk7_doit.c,pkcs7_decrypt_rinfo,pkcs7_decrypt_rinfo,0.9708610022465753
ec2_oct.c_ec2_oct.c,ec_GF2m_simple_oct2point,ec_GF2m_simple_oct2point,0.9708173201828745
apps.c_apps.c,load_index,load_index,0.970726120820242
p_sign.c_p_sign.c,EVP_SignFinal,EVP_SignFinal,0.9706772717586744
ecp_oct.c_ecp_oct.c,ec_GFp_simple_oct2point,ec_GFp_simple_oct2point,0.9705859283965882
a_strex.c_a_strex.c,do_print_ex,do_print_ex,0.970574916224841
p12_npas.c_p12_npas.c,newpass_p12,newpass_p12,0.9702922359295609
ts_conf.c_ts_conf.c,TS_CONF_set_policies,TS_CONF_set_policies,0.9700729759041224
pk7_smime.c_pk7_smime.c,PKCS7_decrypt,PKCS7_decrypt,0.9695369333119657
pem_lib.c_pem_lib.c,PEM_do_header,PEM_do_header,0.9691955149366185
bss_dgram.c_bss_dgram.c,dgram_ctrl,dgram_ctrl,0.9690379990004938
v3_alt.c_x509_alt.c,do_othername,do_othername,0.968601212306236
ex_data.c_ex_data.c,int_dup_ex_data,int_dup_ex_data,0.9685842896689689
cms.c_cms.c,receipt_request_print,receipt_request_print,0.968484254525082
d1_pkt.c_d1_pkt.c,dtls1_dispatch_alert,dtls1_dispatch_alert,0.9683147719632184
ssl_sess.c_ssl_sess.c,ssl_get_new_session,ssl_get_new_session,0.9680934160786527
x509_lu.c_x509_lu.c,X509_STORE_get_by_subject,X509_STORE_get_by_subject,0.9674865040805973
asn1_par.c_asn1_par.c,asn1_parse2,asn1_parse2,0.9674793126991821
rc2cfb64.c_rc2cfb64.c,RC2_cfb64_encrypt,RC2_cfb64_encrypt,0.9673892512600277
dh_key.c_dh_key.c,generate_key,generate_key,0.9672825604396356
tasn_new.c_tasn_new.c,ASN1_primitive_new,ASN1_primitive_new,0.9672190909340828
pem_lib.c_pem_lib.c,PEM_read_bio,PEM_read_bio,0.9666336649676339
tasn_utl.c_tasn_utl.c,asn1_do_adb,asn1_do_adb,0.9663998360548278
crl2p7.c_crl2p7.c,add_certs_from_file,add_certs_from_file,0.9663040371824954
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_points_make_affine,ec_GFp_simple_points_make_affine,0.9662222575408366
req.c_req.c,prompt_info,prompt_info,0.9661277363637757
bio_b64.c_bio_b64.c,b64_write,b64_write,0.9658712833030849
d2i_pr.c_d2i_pr.c,d2i_PrivateKey,d2i_PrivateKey,0.9657903793643806
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_check_request,TS_RESP_check_request,0.9656477258022438
ec_ameth.c_ec_ameth.c,eckey_priv_decode,eckey_priv_decode,0.9651996052164905
tasn_enc.c_tasn_enc.c,asn1_set_seq_out,asn1_set_seq_out,0.9648783447391687
rsa_pmeth.c_rsa_pmeth.c,pkey_rsa_verify,pkey_rsa_verify,0.9647252192891203
ec_mult.c_ec_mult.c,ec_wNAF_precompute_mult,ec_wNAF_precompute_mult,0.9646795032355598
ctr128.c_ctr128.c,CRYPTO_ctr128_encrypt_ctr32,CRYPTO_ctr128_encrypt_ctr32,0.9645086986524646
ca.c_ca.c,do_body,do_body,0.9635304608649063
hmac.c_hmac.c,HMAC_Init_ex,HMAC_Init_ex,0.9633622974126715
pk7_doit.c_pk7_doit.c,PKCS7_dataDecode,PKCS7_dataDecode,0.9630260681679597
wp_dgst.c_wp_dgst.c,WHIRLPOOL_BitUpdate,WHIRLPOOL_BitUpdate,0.9629683033411031
ex_data.c_ex_data.c,int_new_ex_data,int_new_ex_data,0.9629372345584157
bio_ndef.c_bio_ndef.c,ndef_suffix,ndef_suffix,0.9627976589970584
c_cfb64.c_c_cfb64.c,CAST_cfb64_encrypt,CAST_cfb64_encrypt,0.9625868489751929
bio_ndef.c_bio_ndef.c,BIO_new_NDEF,BIO_new_NDEF,0.9624889845308948
ec_asn1.c_ec_asn1.c,d2i_ECPrivateKey,d2i_ECPrivateKey,0.9624408556861339
asn1_gen.c_asn1_gen.c,asn1_str2type,asn1_str2type,0.9621600016659286
pk7_doit.c_pk7_doit.c,pkcs7_encode_rinfo,pkcs7_encode_rinfo,0.962032859634621
openssl.c_openssl.c,do_cmd,do_cmd,0.9619058190459322
pcy_tree.c_pcy_tree.c,tree_calculate_user_set,tree_calculate_user_set,0.9618396825395514
bn_exp.c_bn_exp.c,BN_mod_exp_recp,BN_mod_exp_recp,0.961634828502844
a_int.c_a_int.c,c2i_ASN1_INTEGER,c2i_ASN1_INTEGER,0.9610479433901873
bss_conn.c_bss_conn.c,conn_state,conn_state,0.9603558399624197
tasn_prn.c_tasn_prn.c,asn1_primitive_print,asn1_primitive_print,0.9603203020804634
pk7_doit.c_pk7_doit.c,PKCS7_signatureVerify,PKCS7_signatureVerify,0.960216937549832
bn_kron.c_bn_kron.c,BN_kronecker,BN_kronecker,0.9600693277034809
rsa_pmeth.c_rsa_pmeth.c,pkey_rsa_sign,pkey_rsa_sign,0.9594205088698013
ca.c_ca.c,certify_cert,certify_cert,0.9594077327918036
bio_b64.c_bio_b64.c,b64_ctrl,b64_ctrl,0.9589582063664228
pmeth_lib.c_pmeth_lib.c,int_ctx_new,int_ctx_new,0.958692795539837
txt_db.c_txt_db.c,TXT_DB_create_index,TXT_DB_create_index,0.958540552782831
