file_name,openssl_101f,libressl_3,sim_value
v3_sxnet.c_x509_sxnet.c,SXNET_add_id_INTEGER,SXNET_add_id_INTEGER,0.9999580045068659
rsa_depr.c_rsa_depr.c,RSA_generate_key,RSA_generate_key,0.9998723830525654
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_sign,TS_RESP_sign,0.9998647619184048
tasn_prn.c_tasn_prn.c,asn1_template_print_ctx,asn1_template_print_ctx,0.9996650715053984
v3_crld.c_x509_crld.c,v2i_crld,v2i_crld,0.9996213914380985
cms_env.c_cms_env.c,CMS_RecipientInfo_kekri_get0_id,CMS_RecipientInfo_kekri_get0_id,0.9995578527216911
v3_prn.c_x509_prn.c,X509V3_extensions_print,X509V3_extensions_print,0.9995405950275611
pk7_smime.c_pk7_smime.c,pkcs7_copy_existing_digest,pkcs7_copy_existing_digest,0.999517884467361
p12_kiss.c_p12_kiss.c,parse_pk12,parse_pk12,0.9994818280980191
ts_rsp_sign.c_ts_rsp_sign.c,ESS_CERT_ID_new_init,ESS_CERT_ID_new_init,0.9994312785223481
pcy_cache.c_pcy_cache.c,policy_cache_create,policy_cache_create,0.9993355378281813
v3_prn.c_x509_prn.c,X509V3_EXT_print,X509V3_EXT_print,0.9991607128152968
ts.c_ts.c,create_query,create_query,0.9990168082406208
ts_rsp_verify.c_ts_rsp_verify.c,TS_RESP_verify_signature,TS_RESP_verify_signature,0.9988870341684668
v3_conf.c_x509_conf.c,v3_generic_extension,v3_generic_extension,0.9987734572288254
ssl_cert.c_ssl_cert.c,SSL_add_file_cert_subjects_to_stack,SSL_add_file_cert_subjects_to_stack,0.9986433152919478
v3_conf.c_x509_conf.c,do_ext_nconf,do_ext_nconf,0.9985763643167831
req.c_req.c,auto_info,auto_info,0.998434377150867
bio_asn1.c_bio_asn1.c,asn1_bio_write,asn1_bio_write,0.9984088523289549
v3_ncons.c_x509_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.9983346726414162
gcm128.c_gcm128.c,CRYPTO_gcm128_aad,CRYPTO_gcm128_aad,0.9982273174316821
cms_sd.c_cms_sd.c,CMS_set1_signers_certs,CMS_set1_signers_certs,0.998212364526717
x_x509.c_x_x509.c,x509_cb,x509_cb,0.9982103742478128
t_pkey.c_t_pkey.c,ASN1_bn_print,ASN1_bn_print,0.998093189539508
p12_crpt.c_p12_crpt.c,PKCS12_PBE_keyivgen,PKCS12_PBE_keyivgen,0.9979557665976073
v3_skey.c_x509_skey.c,s2i_skey_id,s2i_skey_id,0.9978473495921658
x_name.c_x_name.c,x509_name_encode,x509_name_encode,0.9977727435116873
pk7_lib.c_pk7_lib.c,PKCS7_set_type,PKCS7_set_type,0.9976402055954617
t_spki.c_t_spki.c,NETSCAPE_SPKI_print,NETSCAPE_SPKI_print,0.9976361821986525
p12_mutl.c_p12_mutl.c,PKCS12_gen_mac,PKCS12_gen_mac,0.9975280965990331
bss_acpt.c_bss_acpt.c,acpt_ctrl,acpt_ctrl,0.9969570675751647
ocsp_prn.c_ocsp_prn.c,OCSP_REQUEST_print,OCSP_REQUEST_print,0.9969198696497774
pk7_smime.c_pk7_smime.c,PKCS7_get0_signers,PKCS7_get0_signers,0.9968455754455043
v3_purp.c_x509_purp.c,setup_dp,setup_dp,0.9966567373393781
a_verify.c_a_verify.c,ASN1_item_verify,ASN1_item_verify,0.9966243907088809
asn_mime.c_asn_mime.c,SMIME_read_ASN1,SMIME_read_ASN1,0.9965389422605355
eng_table.c_eng_table.c,engine_table_select,engine_table_select,0.996492304709788
x509.c_x509.c,x509_certify,x509_certify,0.9964821797857595
pk7_doit.c_pk7_doit.c,PKCS7_dataVerify,PKCS7_dataVerify,0.9964342641543784
cms_sd.c_cms_sd.c,cms_sd_set_version,cms_sd_set_version,0.9964317169341895
x509_vfy.c_x509_vfy.c,get_delta_sk,get_delta_sk,0.9963845413403818
p12_crt.c_p12_crt.c,PKCS12_create,PKCS12_create,0.9963659745796192
ca.c_ca.c,unpack_revinfo,unpack_revinfo,0.9963586080595075
apps.c_apps.c,load_serial,load_serial,0.9962104209496494
ts_rsp_verify.c_ts_rsp_verify.c,int_TS_RESP_verify_token,int_TS_RESP_verify_token,0.9961868404642489
x509_att.c_x509_att.c,X509_ATTRIBUTE_set1_data,X509_ATTRIBUTE_set1_data,0.9961788626830153
cms_lib.c_cms_lib.c,CMS_dataFinal,CMS_dataFinal,0.9959656488667747
pk7_lib.c_pk7_lib.c,PKCS7_add_signer,PKCS7_add_signer,0.9959357654488614
p5_crpt.c_p5_crpt.c,PKCS5_PBE_keyivgen,PKCS5_PBE_keyivgen,0.9959162156585817
pcy_cache.c_pcy_cache.c,policy_cache_new,policy_cache_new,0.9958594558544713
bn_nist.c_bn_nist.c,BN_nist_mod_521,BN_nist_mod_521,0.9958244727622922
pkcs12.c_pkcs12.c,dump_certs_keys_p12,dump_certs_keys_p12,0.9957756127488293
v3_purp.c_x509_purp.c,X509_check_akid,X509_check_akid,0.9954911480270834
t_x509.c_t_x509.c,X509_print_ex,X509_print_ex,0.9954893505578108
x_long.c_x_long.c,long_i2c,long_i2c,0.9953899064769873
p5_crpt2.c_p5_crpt2.c,PKCS5_PBKDF2_HMAC,PKCS5_PBKDF2_HMAC,0.9952792149244016
x509_lu.c_x509_lu.c,X509_STORE_get1_certs,X509_STORE_get1_certs,0.9952574971906447
ec_lib.c_ec_lib.c,EC_GROUP_copy,EC_GROUP_copy,0.9951562917900915
ts_rsp_print.c_ts_rsp_print.c,TS_TST_INFO_print_bio,TS_TST_INFO_print_bio,0.995095797910625
eng_table.c_eng_table.c,engine_table_register,engine_table_register,0.9949932922877309
e_aes_cbc_hmac_sha1.c_e_aes_cbc_hmac_sha1.c,aesni_cbc_hmac_sha1_ctrl,aesni_cbc_hmac_sha1_ctrl,0.9949344377112315
x509_req.c_x509_req.c,X509_REQ_add_extensions_nid,X509_REQ_add_extensions_nid,0.9949111040182431
x509_lu.c_x509_lu.c,X509_STORE_get1_crls,X509_STORE_get1_crls,0.9948534768798079
pcy_map.c_pcy_map.c,policy_cache_set_mapping,policy_cache_set_mapping,0.994817655782072
pkcs12.c_pkcs12.c,print_attribs,print_attribs,0.9947374501579642
t_req.c_t_req.c,X509_REQ_print_ex,X509_REQ_print_ex,0.9946947151372978
x509.c_x509.c,x509_load_serial,x509_load_serial,0.9945869901940032
bn_mont.c_bn_mont.c,BN_MONT_CTX_set,BN_MONT_CTX_set,0.9945255591525788
ca.c_ca.c,certify,certify,0.9945242455715768
bn_lib.c_bn_lib.c,BN_bin2bn,BN_bin2bn,0.9945008856181281
pk7_lib.c_pk7_lib.c,PKCS7_SIGNER_INFO_set,PKCS7_SIGNER_INFO_set,0.9944199488781709
pem_info.c_pem_info.c,PEM_X509_INFO_write_bio,PEM_X509_INFO_write_bio,0.9942886590737392
t_x509a.c_t_x509a.c,X509_CERT_AUX_print,X509_CERT_AUX_print,0.994115832464892
asn_mime.c_asn_mime.c,SMIME_write_ASN1,SMIME_write_ASN1,0.9940194586729048
pk7_lib.c_pk7_lib.c,PKCS7_RECIP_INFO_set,PKCS7_RECIP_INFO_set,0.9938575729068759
ocsp_lib.c_ocsp_lib.c,OCSP_cert_id_new,OCSP_cert_id_new,0.9935696759562134
x_name.c_x_name.c,x509_name_ex_d2i,x509_name_ex_d2i,0.9935016120026345
ocsp_prn.c_ocsp_prn.c,OCSP_RESPONSE_print,OCSP_RESPONSE_print,0.9932785172002895
ocsp.c_ocsp.c,print_ocsp_summary,print_ocsp_summary,0.9932695769080365
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_is_on_curve,0.992934257328197
ec2_smpl.c_ec2_smpl.c,ec_GF2m_simple_is_on_curve,ec_GF2m_simple_is_on_curve,0.9928006642926777
n_pkey.c_n_pkey.c,d2i_RSA_NET_2,d2i_RSA_NET_2,0.9927636049790348
v3_alt.c_x509_alt.c,copy_email,copy_email,0.9927398020912734
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_dbl,0.9926586505727905
cms_pwri.c_cms_pwri.c,kek_unwrap_key,kek_unwrap_key,0.9926054446381201
ts_rsp_sign.c_ts_rsp_sign.c,TS_RESP_create_tst_info,TS_RESP_create_tst_info,0.9925277744604338
p12_kiss.c_p12_kiss.c,PKCS12_parse,PKCS12_parse,0.9924201276132849
x509_req.c_x509_req.c,X509_REQ_get_extensions,X509_REQ_get_extensions,0.9923683273647941
ecp_smpl.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_add,0.9923568193032214
v3_crld.c_x509_crld.c,set_dist_point_name,set_dist_point_name,0.9922811248194023
a_sign.c_a_sign.c,ASN1_item_sign_ctx,ASN1_item_sign_ctx,0.9921534646669511
p12_kiss.c_p12_kiss.c,parse_bag,parse_bag,0.9920685598398855
