file_name,libressl_3,boringssl_0,sim_value
a_int.c_a_int.c,c2i_ASN1_INTEGER,c2i_ASN1_INTEGER,0.9409255686203246
x509_ncons.c_v3_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.9403210228273333
gcm128.c_gcm.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9399994963446079
x_name.c_x_name.c,x509_name_canon,x509_name_canon,0.9372292446639492
a_strex.c_a_strex.c,do_print_ex,do_print_ex,0.9364590065987056
curve25519.c_curve25519.c,x25519_ge_scalarmult,x25519_ge_scalarmult,0.9361571630347492
xts128.c_xts.c,CRYPTO_xts128_encrypt,CRYPTO_xts128_encrypt,0.9358713830791611
x509_lu.c_x509_lu.c,X509_STORE_CTX_get1_issuer,X509_STORE_CTX_get1_issuer,0.9349260043712863
tasn_enc.c_tasn_enc.c,ASN1_item_ex_i2d,ASN1_item_ex_i2d,0.9345988852157723
x509_alt.c_v3_alt.c,v2i_subject_alt,v2i_subject_alt,0.9345261300255797
x509_purp.c_v3_purp.c,setup_dp,setup_dp,0.9342340560499858
tasn_dec.c_tasn_dec.c,asn1_template_noexp_d2i,asn1_template_noexp_d2i,0.9335116795311547
x509_ncons.c_v3_ncons.c,v2i_NAME_CONSTRAINTS,v2i_NAME_CONSTRAINTS,0.9333046288966862
a_object.c_a_object.c,a2d_ASN1_OBJECT,a2d_ASN1_OBJECT,0.9328231200388926
x509_lu.c_x509_lu.c,X509_STORE_get1_certs,X509_STORE_get1_certs,0.9326491069541067
x509_cpols.c_v3_cpols.c,r2i_certpol,r2i_certpol,0.9317283368474092
hmac.c_hmac.c,HMAC_Init_ex,HMAC_Init_ex,0.930969445311139
gcm128.c_gcm.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9301936044828982
a_object.c_a_object.c,c2i_ASN1_OBJECT,c2i_ASN1_OBJECT,0.9295859331620753
x509_lu.c_x509_lu.c,X509_STORE_get1_crls,X509_STORE_get1_crls,0.9280086741347762
pem_pk8.c_pem_pk8.c,d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.9276934918883907
x_name.c_x_name.c,x509_name_ex_d2i,x509_name_ex_d2i,0.9269764647703277
x_x509.c_x_x509.c,x509_cb,x509_cb,0.9262077902654273
x509_purp.c_v3_purp.c,X509_check_akid,X509_check_akid,0.9250237634251326
ecp_oct.c_oct.c,ec_GFp_simple_point2oct,ec_GFp_simple_point2oct,0.9245478312083844
tasn_new.c_tasn_new.c,asn1_item_ex_combine_new,asn1_item_ex_combine_new,0.9244316715654479
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.9238755386318318
x509_akey.c_v3_akey.c,v2i_AUTHORITY_KEYID,v2i_AUTHORITY_KEYID,0.9226628970611878
asn1_gen.c_asn1_gen.c,ASN1_generate_v3,ASN1_generate_v3,0.9208143220450551
cbc128.c_cbc.c,CRYPTO_cbc128_decrypt,CRYPTO_cbc128_decrypt,0.9200517803831223
x509_vfy.c_x509_vfy.c,get_crl_sk,get_crl_sk,0.9200388577216895
tasn_enc.c_tasn_enc.c,asn1_set_seq_out,asn1_set_seq_out,0.9187963294020793
rsa_pmeth.c_p_rsa.c,pkey_rsa_sign,pkey_rsa_sign,0.9186205267059974
x509_cpols.c_v3_cpols.c,notice_section,notice_section,0.9170268389977041
by_dir.c_by_dir.c,get_cert_by_subject,get_cert_by_subject,0.9137559581360886
x509_obj.c_x509_obj.c,X509_NAME_oneline,X509_NAME_oneline,0.9136689892687109
a_mbstr.c_a_mbstr.c,ASN1_mbstring_ncopy,ASN1_mbstring_ncopy,0.9135471922203477
x509_info.c_v3_info.c,v2i_AUTHORITY_INFO_ACCESS,v2i_AUTHORITY_INFO_ACCESS,0.9123622785765149
pem_pk8.c_pem_pk8.c,do_pk8pkey,do_pk8pkey,0.9123065313361444
bss_conn.c_connect.c,conn_ctrl,conn_ctrl,0.9116865427945289
pem_lib.c_pem_lib.c,PEM_ASN1_write_bio,PEM_ASN1_write_bio,0.9103288454340663
x509_r2x.c_x509_r2x.c,X509_REQ_to_X509,X509_REQ_to_X509,0.9098747667539657
