file_name,openssl_101f,boringssl_0,sim_value
bn_exp2.c_exponentiation.c,BN_mod_exp2_mont,BN_mod_exp_mont,0.9421093194277688
v3_ncons.c_v3_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.9414585505651238
asn1_gen.c_asn1_gen.c,asn1_multi,asn1_multi,0.9413382244340769
rsa_pss.c_padding.c,RSA_verify_PKCS1_PSS_mgf1,RSA_verify_PKCS1_PSS_mgf1,0.9403104509396543
a_int.c_a_int.c,c2i_ASN1_INTEGER,c2i_ASN1_INTEGER,0.9393619231318947
v3_cpols.c_v3_cpols.c,notice_section,notice_section,0.9389818383257975
ecp_oct.c_oct.c,ec_GFp_simple_oct2point,ec_GFp_simple_oct2point,0.9386313524263574
v3_cpols.c_v3_cpols.c,r2i_certpol,r2i_certpol,0.9380611766149618
cbc128.c_cbc.c,CRYPTO_cbc128_decrypt,CRYPTO_cbc128_decrypt,0.9375146835419222
v3_akey.c_v3_akey.c,v2i_AUTHORITY_KEYID,v2i_AUTHORITY_KEYID,0.9367368144013919
x509_lu.c_x509_lu.c,X509_STORE_get1_certs,X509_STORE_get1_certs,0.936401315150718
v3_cpols.c_v3_cpols.c,policy_section,policy_section,0.9362044099680589
gcm128.c_gcm.c,CRYPTO_gcm128_setiv,CRYPTO_gcm128_setiv,0.9361542195638144
v3_alt.c_v3_alt.c,i2v_GENERAL_NAME,i2v_GENERAL_NAME,0.9349083511348785
v3_purp.c_v3_purp.c,setup_dp,setup_dp,0.934738572097014
a_object.c_a_object.c,a2d_ASN1_OBJECT,a2d_ASN1_OBJECT,0.9334878116172725
asn1_gen.c_asn1_gen.c,ASN1_generate_v3,ASN1_generate_v3,0.9324502668334597
tasn_new.c_tasn_new.c,asn1_item_ex_combine_new,asn1_item_ex_combine_new,0.9317370765669981
x509_att.c_x509_att.c,X509_ATTRIBUTE_set1_data,X509_ATTRIBUTE_set1_data,0.9314029616895669
by_dir.c_by_dir.c,get_cert_by_subject,get_cert_by_subject,0.9297603707864166
v3_purp.c_v3_purp.c,X509_check_akid,X509_check_akid,0.9291555326832621
x509_vfy.c_x509_vfy.c,get_crl_sk,get_crl_sk,0.9277808267202152
a_int.c_a_int.c,d2i_ASN1_UINTEGER,d2i_ASN1_UINTEGER,0.9272116950698064
x509_vfy.c_x509_vfy.c,internal_verify,internal_verify,0.925996715339558
hmac.c_hmac.c,HMAC_Init_ex,HMAC_Init_ex,0.9256377275242208
v3_info.c_v3_info.c,v2i_AUTHORITY_INFO_ACCESS,v2i_AUTHORITY_INFO_ACCESS,0.9252142132652889
t_crl.c_t_crl.c,X509_CRL_print,X509_CRL_print,0.9249135917618008
x_name.c_x_name.c,x509_name_ex_d2i,x509_name_ex_d2i,0.9232982028610159
x_x509.c_x_x509.c,x509_cb,x509_cb,0.923287897453313
bn_mont.c_montgomery.c,BN_from_montgomery_word,BN_from_montgomery_word,0.9223275225402865
x509_vfy.c_x509_vfy.c,check_crl,check_crl,0.9220369532087629
gcm128.c_gcm.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.9217740138163059
ecp_oct.c_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9193917395184819
x509_lu.c_x509_lu.c,X509_STORE_get1_crls,X509_STORE_get1_crls,0.9165145342928543
pem_pk8.c_pem_pk8.c,do_pk8pkey,do_pk8pkey,0.9157608838136888
bss_conn.c_connect.c,conn_ctrl,conn_ctrl,0.914772982083712
ecp_smpl.c_simple.c,ec_GFp_simple_points_make_affine,ec_GFp_simple_points_make_affine,0.9135163785579146
gcm128.c_gcm.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.9111241946125097
x509_vfy.c_x509_vfy.c,X509_cmp_time,X509_cmp_time,0.9087047758422604
p5_crpt2.c_pbkdf.c,PKCS5_PBKDF2_HMAC,PKCS5_PBKDF2_HMAC,0.9078239593873798
a_strex.c_a_strex.c,do_print_ex,do_print_ex,0.9048462266861117
x509_req.c_x509_req.c,X509_to_X509_REQ,X509_to_X509_REQ,0.903345024070556
x509_vfy.c_x509_vfy.c,X509_verify_cert,X509_verify_cert,0.9011775607216652
v3_pci.c_v3_pci.c,r2i_pci,r2i_pci,0.8999649657005554
pem_lib.c_pem_lib.c,PEM_do_header,PEM_do_header,0.8984613946024274
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.8951273184702857
pem_lib.c_pem_lib.c,PEM_ASN1_write_bio,PEM_ASN1_write_bio,0.8938765725694636
cfb64ede.c_cfb64ede.c,DES_ede3_cfb_encrypt,DES_ede3_cfb_encrypt,0.8928091733454695
pem_pk8.c_pem_pk8.c,d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.8925739206704439
rc2_skey.c_e_rc2.c,RC2_set_key,RC2_set_key,0.892262703105209
ecp_oct.c_oct.c,ec_GFp_simple_point2oct,ec_GFp_simple_point2oct,0.886554526315078
ec_mult.c_wnaf.c,ec_wNAF_mul,ec_wNAF_mul,0.8859209376512196
rsa_pss.c_padding.c,RSA_padding_add_PKCS1_PSS_mgf1,RSA_padding_add_PKCS1_PSS_mgf1,0.885422899990965
t_req.c_t_req.c,X509_REQ_print_ex,X509_REQ_print_ex,0.8838998076709745
x509_r2x.c_x509_r2x.c,X509_REQ_to_X509,X509_REQ_to_X509,0.871582323704628
