file_name,boringssl_0,gmssl,sim_value
simple.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_cmp,0.921172961439874
oct.c_ecp_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9210588669878539
v3_purp.c_v3_purp.c,setup_dp,setup_dp,0.9198652152949608
tasn_dec.c_tasn_dec.c,asn1_template_noexp_d2i,asn1_template_noexp_d2i,0.918544442389378
pem_info.c_pem_info.c,PEM_X509_INFO_read_bio,PEM_X509_INFO_read_bio,0.9179131130387139
simple.c_ecp_smpl.c,ec_GFp_simple_is_on_curve,ec_GFp_simple_add,0.9172135925141065
x_crl.c_x_crl.c,crl_cb,crl_cb,0.9159247342730552
pem_pk8.c_pem_pk8.c,d2i_PKCS8PrivateKey_bio,d2i_PKCS8PrivateKey_bio,0.9158508620468444
xts.c_xts128.c,CRYPTO_xts128_encrypt,CRYPTO_xts128_encrypt,0.9157408486383396
exponentiation.c_bn_exp2.c,BN_mod_exp_mont,BN_mod_exp2_mont,0.9152067336686684
v3_alt.c_v3_alt.c,copy_email,copy_email,0.9148065341339415
tasn_fre.c_tasn_fre.c,asn1_item_combine_free,asn1_item_embed_free,0.9146890498219228
pem_pkey.c_pem_pkey.c,PEM_read_bio_PrivateKey,PEM_read_bio_PrivateKey,0.9144493239712201
v3_cpols.c_v3_cpols.c,policy_section,policy_section,0.9137224704932263
simple.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_is_on_curve,0.9123287641134832
tasn_new.c_tasn_new.c,asn1_item_ex_combine_new,asn1_item_embed_new,0.911285735487573
x509_obj.c_x509_obj.c,X509_NAME_oneline,X509_NAME_oneline,0.9087709676745128
simple.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_cmp,0.9067884907313175
x509_vfy.c_x509_vfy.c,X509_STORE_CTX_init,X509_STORE_CTX_init,0.9047872502564256
simple.c_ecp_smpl.c,ec_GFp_simple_dbl,ec_GFp_simple_add,0.9024320008270377
gcm.c_gcm128.c,CRYPTO_gcm128_setiv,CRYPTO_gcm128_setiv,0.9012502745489424
a_int.c_a_int.c,c2i_ASN1_INTEGER,d2i_ASN1_UINTEGER,0.9011259992221543
v3_crld.c_v3_crld.c,v2i_crld,v2i_crld,0.9003039179350848
x_name.c_x_name.c,x509_name_canon,x509_name_canon,0.8983147726541205
simple.c_ecp_smpl.c,ec_GFp_simple_add,ec_GFp_simple_dbl,0.8981746768671742
simple.c_ec2_smpl.c,ec_GFp_simple_cmp,ec_GF2m_simple_is_on_curve,0.8972701169888462
x509_vfy.c_x509_vfy.c,get_crl_sk,get_crl_sk,0.8969278360910609
a_bitstr.c_a_int.c,c2i_ASN1_BIT_STRING,d2i_ASN1_UINTEGER,0.8962372255704933
gcm.c_gcm128.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.8955322121752878
pcy_map.c_pcy_map.c,policy_cache_set_mapping,policy_cache_set_mapping,0.8937477383535704
e_rc2.c_rc2_skey.c,RC2_set_key,RC2_set_key,0.8930484420392708
gcm.c_gcm128.c,CRYPTO_gcm128_encrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.892714965705958
v3_crld.c_v3_crld.c,set_dist_point_name,set_dist_point_name,0.8919892618741154
v3_cpols.c_v3_cpols.c,r2i_certpol,r2i_certpol,0.891896380879474
x_x509.c_x_x509.c,x509_cb,x509_cb,0.8912446130418827
pcy_tree.c_pcy_tree.c,tree_init,tree_init,0.8907873775552198
dsa.c_dsa_gen.c,DSA_generate_parameters_ex,dsa_builtin_paramgen,0.8903828381623755
a_int.c_a_bitstr.c,c2i_ASN1_INTEGER,c2i_ASN1_BIT_STRING,0.8896078240289363
simple.c_ecp_smpl.c,ec_GFp_simple_cmp,ec_GFp_simple_add,0.8890470157943005
v3_info.c_v3_info.c,i2v_AUTHORITY_INFO_ACCESS,i2v_AUTHORITY_INFO_ACCESS,0.8886086910927243
a_object.c_a_object.c,a2d_ASN1_OBJECT,a2d_ASN1_OBJECT,0.8871636998504218
gcm.c_gcm128.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_decrypt_ctr32,0.8856178591995008
gcm.c_gcm128.c,CRYPTO_gcm128_decrypt_ctr32,CRYPTO_gcm128_encrypt_ctr32,0.884641672410271
oct.c_ecp_oct.c,ec_GFp_simple_point2oct,ec_GFp_simple_point2oct,0.8842699165524825
oct.c_ecp_oct.c,ec_GFp_simple_point2oct,ec_GFp_simple_oct2point,0.8842641846680077
x509_lu.c_x509_lu.c,X509_STORE_CTX_get1_issuer,X509_STORE_CTX_get1_issuer,0.8839547630388169
asn1_gen.c_asn1_gen.c,asn1_multi,asn1_multi,0.8836920829136574
cfb64ede.c_cfb64ede.c,DES_ede3_cfb_encrypt,DES_ede3_cfb_encrypt,0.8826833719879938
a_d2i_fp.c_a_d2i_fp.c,asn1_d2i_read_bio,asn1_d2i_read_bio,0.8825684993463594
pem_pk8.c_pem_pk8.c,do_pk8pkey,do_pk8pkey,0.8821763209842339
oct.c_ec2_oct.c,ec_GFp_simple_point2oct,ec_GF2m_simple_oct2point,0.881962715591306
oct.c_ec2_oct.c,ec_GFp_simple_point2oct,ec_GF2m_simple_point2oct,0.881249210842338
exponentiation.c_bn_exp.c,BN_mod_exp_mont_consttime,BN_mod_exp_mont_consttime,0.8808250514249223
v3_ncons.c_v3_ncons.c,v2i_NAME_CONSTRAINTS,v2i_NAME_CONSTRAINTS,0.8793933217225487
by_dir.c_by_dir.c,get_cert_by_subject,get_cert_by_subject,0.8764818987536
dsa.c_dsa_gen.c,DSA_generate_parameters_ex,dsa_builtin_paramgen2,0.8762474188815378
simple.c_ecp_smpl.c,ec_GFp_simple_points_make_affine,ec_GFp_simple_points_make_affine,0.8755707177722227
v3_pci.c_v3_pci.c,r2i_pci,r2i_pci,0.8750304379601653
wnaf.c_ec_mult.c,ec_wNAF_mul,ec_wNAF_mul,0.87459638256286
e_aes.c_e_aes.c,aes_gcm_ctrl,aes_gcm_ctrl,0.8734724269991581
simple.c_ecp_smpl.c,ec_GFp_simple_cmp,ec_GFp_simple_dbl,0.8730819751708755
tasn_enc.c_tasn_enc.c,asn1_set_seq_out,asn1_set_seq_out,0.8703381002169442
connect.c_bss_conn.c,conn_ctrl,conn_ctrl,0.8698990051772355
oct.c_ecp_smpl.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_point_get_affine_coordinates,0.8696277035761184
