file_name,openssl_101f,gmssl,sim_value
ccm128.c_ccm128.c,CRYPTO_ccm128_encrypt_ccm64,CRYPTO_ccm128_encrypt_ccm64,0.9834480889764914
ui_lib.c_ui_lib.c,UI_set_result,UI_set_result,0.9833115410730913
ocsp_cl.c_ocsp_cl.c,OCSP_request_sign,OCSP_request_sign,0.9832080084159194
bn_nist.c_bn_nist.c,BN_nist_mod_224,BN_nist_mod_224,0.9827753597202797
ccm128.c_ccm128.c,CRYPTO_ccm128_encrypt_ccm64,CRYPTO_ccm128_decrypt_ccm64,0.9827412122752004
bn_nist.c_bn_sm2p256.c,BN_nist_mod_256,BN_sm2_mod_256,0.9821600763667695
ccm128.c_ccm128.c,CRYPTO_ccm128_decrypt_ccm64,CRYPTO_ccm128_decrypt_ccm64,0.982066126090506
bn_nist.c_bn_nist.c,BN_nist_mod_256,BN_nist_mod_256,0.9815063656888116
ccm128.c_ccm128.c,CRYPTO_ccm128_decrypt_ccm64,CRYPTO_ccm128_encrypt_ccm64,0.9814285967812506
bntest.c_bntest.c,main,main,0.9811136268284915
tasn_dec.c_tasn_dec.c,asn1_template_ex_d2i,asn1_template_ex_d2i,0.9804775973378561
cms_pwri.c_cms_pwri.c,kek_unwrap_key,kek_unwrap_key,0.9803091062525859
ssl_sess.c_ssl_sess.c,ssl_get_new_session,ssl_get_new_session,0.9802987280778397
bn_gf2m.c_bn_gf2m.c,BN_GF2m_mod_mul_arr,BN_GF2m_mod_mul_arr,0.9802723898867085
bn_lib.c_bn_lib.c,BN_bin2bn,BN_lebin2bn,0.9802525974408958
v3_ncons.c_v3_ncons.c,NAME_CONSTRAINTS_check,NAME_CONSTRAINTS_check,0.9802076825653546
genpkey.c_genpkey.c,init_gen_str,init_gen_str,0.9800263929162528
t1_lib.c_t1_lib.c,ssl_check_serverhello_tlsext,ssl_check_serverhello_tlsext,0.9797899243262954
p12_add.c_p12_add.c,PKCS12_pack_p7encdata,PKCS12_pack_p7encdata,0.9796623154441346
bn_sqrt.c_bn_sqrt.c,BN_mod_sqrt,BN_mod_sqrt,0.9794914162167172
bf_cfb64.c_bf_cfb64.c,BF_cfb64_encrypt,BF_cfb64_encrypt,0.9787960102091913
ofb64ede.c_ofb64ede.c,DES_ede3_ofb64_encrypt,DES_ede3_ofb64_encrypt,0.9774403120832682
cms_env.c_cms_env.c,cms_RecipientInfo_kekri_encrypt,cms_RecipientInfo_kekri_decrypt,0.9773653465270127
ecp_oct.c_ecp_oct.c,ec_GFp_simple_set_compressed_coordinates,ec_GFp_simple_set_compressed_coordinates,0.9773615375614968
pk7_doit.c_pk7_doit.c,pkcs7_decrypt_rinfo,pkcs7_decrypt_rinfo,0.9768879438754576
